Added Member To Class: ClassName=Main Member=Component D6 STPS5L60S
Added Member To Class: ClassName=Main Member=Component D7 Red
Added Member To Class: ClassName=Main Member=Component R7 470 kOhms
Added Member To Class: ClassName=Main Member=Component R8 75 kOhms
Added Member To Class: ClassName=Main Member=Component R10 10 kOhms
Added Member To Class: ClassName=Main Member=Component R12 10 kOhms
Added Member To Class: ClassName=Main Member=Component R14 1 kOhms
Added Member To Class: ClassName=Main Member=Component R16 1 kOhms
Added Member To Class: ClassName=Main Member=Component R18 1 kOhms
Added Member To Class: ClassName=Main Member=Component R20 10 kOhms
Added Member To Class: ClassName=Main Member=Component R22 10 kOhms
Added Member To Class: ClassName=Main Member=Component R24 1 kOhms
Added Member To Class: ClassName=Main Member=Component R26 1 kOhms
Added Member To Class: ClassName=Main Member=Component R27 1 kOhms
