Removed Pin From Net: NetName=GND Pin=C6-1
Removed Pin From Net: NetName=GND Pin=C7-1
Removed Pin From Net: NetName=GND Pin=C8-1
Removed Pin From Net: NetName=5V Pin=C15-1
Removed Pin From Net: NetName=GND Pin=C15-2
Removed Pin From Net: NetName=5V Pin=C16-1
Removed Pin From Net: NetName=GND Pin=C16-2
Removed Pin From Net: NetName=5V Pin=C20-1
Removed Pin From Net: NetName=GND Pin=C20-2
Removed Pin From Net: NetName=GND Pin=C21-1
Removed Pin From Net: NetName=5V Pin=C21-2
Removed Pin From Net: NetName=GND Pin=D3-1
Removed Pin From Net: NetName=GND Pin=D6-1
Removed Pin From Net: NetName=24V Pin=F1-1
Removed Pin From Net: NetName=5V Pin=L1-1
Removed Pin From Net: NetName=GND Pin=R8-1
Removed Pin From Net: NetName=5V Pin=U3-4
Removed Pin From Net: NetName=GND Pin=U3-6
Removed Pin From Net: NetName=GND Pin=U3-9
Removed Member From Class: ClassName=Main Member=C6
Removed Member From Class: ClassName=Main Member=C7
Removed Member From Class: ClassName=Main Member=C8
Removed Member From Class: ClassName=Main Member=C11
Removed Member From Class: ClassName=Main Member=C15
Removed Member From Class: ClassName=Main Member=C16
Removed Member From Class: ClassName=Main Member=C20
Removed Member From Class: ClassName=Main Member=C21
Removed Member From Class: ClassName=Main Member=D3
Removed Member From Class: ClassName=Main Member=D6
Removed Member From Class: ClassName=Main Member=F1
Removed Member From Class: ClassName=Main Member=L1
Removed Member From Class: ClassName=Main Member=R7
Removed Member From Class: ClassName=Main Member=R8
Removed Member From Class: ClassName=Main Member=U3
Change Component Footprint: Designator=C5 Old Footprint=CAP ALSMD 8.3MM H10.5MM New Footprint=CAP_EEHZA1V470P
Change Component Footprint: Designator=X3 Old Footprint=TE 282834-2 New Footprint=MOLEX KK 0022272021
Change Component Footprint: Designator=X4 Old Footprint=TE 282834-2 New Footprint=MOLEX KK 0022272021
Change Component Footprint: Designator=X6 Old Footprint=TE 282834-2 New Footprint=MOLEX KK 0022272021
Change Component Comment : Designator=C5 Old Comment=47µF New Comment=EEHZA1V470P
Change Component Comment : Designator=X3 Old Comment=282834-2 New Comment=0022272021
Change Component Comment : Designator=X4 Old Comment=282834-2 New Comment=0022272021
Change Component Comment : Designator=X6 Old Comment=282834-2 New Comment=0022272021
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAP ALSMD 8.3MM H10.5MM"; UniqueID = "\DIVFZWFI" ("\DIVFZWFI")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "{'manufacturer': u'Panasonic Electronic'}"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "EEHZA1V470P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47 uF 35V"; VariantName = "[No Variations]"
Change component parameters: Designator = "X3" ("X3"); Footprint = "TE 282834-2"; UniqueID = "\PBEFDFYL" ("\PBEFDFYL")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.molex.com/pdm_docs/sd/022272021_sd.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/molex/0022272021/WM4111-ND/1130577"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Mating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Post"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish Thickness - Mating"; Value = "100.0µin (2.54µm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Length - Mating"; Value = "0.295" (7.49mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Length - Post"; Value = "0.140" (3.56mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Shape"; Value = "Square"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = "Friction Lock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Color"; Value = "Natural"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Height"; Value = "0.461" (11.70mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Material"; Value = "Polyamide (PA), Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "12.01.2020 23:51:43"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions Loaded"; Value = "All"; VariantName = "[No Variations]"
